,ricf_oid,ba_cn,fa_dint,ba_evl,ba_nfe,cf_govc,sc_gongo,ba_gvof,fp_tt,ba_age,ba_bn,sco_na,ba_ntr,Province
3,379,传媒大学教育基金会,16793400.0,1,5,0.0,1,00,76188189.52,8.0,17.0,1,0.0,Beijing
6,3001,辽宁省体育基金会,0.0,4,6,0.0,1,00,27169056.29,26.0,5.0,0,1.0,Liaoning
10,250,中国煤矿尘肺病防治基金会,14584949.440000001,4,14,1200000.0,1,01,46538508.0,12.0,8.0,1,1.0,Hebei
11,1147,宁夏回族自治区燕宝慈善基金会,161624702.0,5,12,0.0,0,01,15675323.18,5.0,5.0,0,0.0,Ningxia
15,59,上海市儿童健康基金会,10941224.520000001,5,0.0,0.0,0,00.0,25854627.97,23.0,22.0,0,1.0,Shanghai
18,3012,辽宁省大连海洋大学教育发展基金会,500000.0,4,2,0.0,1,00,3369012.57,5.0,25.0,0,0.0,Liaoning
19,3164,陕西九九老龄事业基金会,0.0,3,5,0.0,0,00,34036397.74,4.0,5.0,0,0.0,Shaanxi
24,244,中国残疾人福利基金会,550817133.67,5,56,3000000.0,1,01,823283981.17,31.0,20.0,1,1.0,Beijing
27,1060,天津外国语大学教育发展基金会,6446308.68,3,1,0.0,1,00,8413038.89,10.0,8.0,0,0.0,Tianjin
29,1315,山西省代县雁门济困助学教育基金会,0.0,3,0,0.0,1,00,12364324.66,3.0,9.0,0,0.0,Shanxi
31,2684,瑞安市社会组织发展基金会,60000.0,4,1,20000.0,1,00,4867879.98,2.0,6.0,0,0.0,Zhejiang
34,3216,陕西省青少年发展基金会,21052275.47,4,10,0.0,1,00,11634654.35,4.0,20.0,0,1.0,Shaanxi
40,1774,昆明市见义勇为基金会,100000.0,3,2,1555000.0,1,30,12658832.11,12.0,25.0,0,1.0,Yunnan
45,2057,河北省教育基金会,868983.5,4,2,0.0,1,00,2714521.72,19.0,9.0,0,0.0,Hebei
48,1255,宝鸡市残疾人福利基金会,5914845.32,4,3,400000.0,1,00,8629459.77,5.0,25.0,0,1.0,Shaanxi
49,252,中国牙病防治基金会,3024595.36,3,1,1100000.0,1,00,9942333.93,21.0,25.0,1,1.0,Beijing
50,179,中华全国体育基金会,69419626.58,4,4,0.0,1,21,1086875103.55,21.0,19.0,1,1.0,Beijing
51,1324,山西省合创爱心助困基金会,200000.0,4,0,0.0,0,00,2179516.65,8.0,6.0,0,0.0,Shanxi
52,19,上海交通大学教育发展基金会,275234564.76,5,14.0,0.0,1,00.0,1269724262.77,10.0,15.0,0,0.0,Shanghai
58,3092,重庆市武隆县扶贫基金会,6512000.0,3,3,0.0,1,00,10441711.01,3.0,15.0,0,1.0,Chongqing
65,1835,桐乡市人民教育基金会,7721850.0,1,1,0.0,1,00,16381285.91,5.0,5.0,0,1.0,Zhejiang
67,3129,长安大学教育基金会,4474844.1899999995,3,3,0.0,1,00,10173212.31,5.0,25.0,0,0.0,Shaanxi
71,2071,河北省见义勇为基金会,51271.0,5,8,0.0,1,00,30785327.66,21.0,18.0,0,1.0,Hebei
73,257,中国益民文化建设基金会,0.0,1,5,0.0,1,00,9387371.07,22.0,12.0,1,1.0,Beijing
80,81,上海市帮困互助基金会,60973926.4,5,10.0,0.0,1,00.0,147636611.3,12.0,18.0,0,1.0,Shanghai
82,947,呼伦贝尔市扶贫基金会,234000.0,3,3,0.0,1,00,4165535.56,4.0,8.0,0,1.0,Neimenggu
83,3408,重庆市急救医疗救助基金会,0.0,2,3,0.0,1,00,2161414.76,9.0,10.0,0,0.0,Chongqing
85,2075,河北省青少年发展基金会,18106095.83,5,9,0.0,1,30,53672085.84,22.0,13.0,0,1.0,Hebei
88,3617,云南杨丽萍民族文化艺术基金会,1500000.0,3,2,0.0,0,00,4429473.87,2.0,5.0,0,0.0,Yunnan
