,ricf_oid,ba_cn,ba_nfe,ba_hr,ba_gvm,ba_pgv,ba_ntr,ba_fdt,ba_bn,ba_evl,fa_dine,fa_dinu,cf_govc,fp_tt_end,Government-Link,Scope
0,3,万科公益基金会,6.0,,0.0,0.0,非公募,2008年09月04日,,3A,17114972.97,79108217.88,0.00,"188,859,345.36",NGF,National
1,8,三江源生态保护基金会,4.0,,0.0,1.0,公募,2012年10月22日,,未参评,0,2350000,0.00,"325,185,494.27",GLF,Regional
2,10,上海七弦古琴文化发展基金会,1.0,,0.0,0.0,非公募,2011年01月28日,,未参评,0,1000,0.0,3974110.41,NGF,Regional
3,11,上海万宇慈善基金会,0.0,,0.0,0.0,非公募,2013年06月18日,,未参评,0,0,0.0,5199189.43,NGF,Regional
4,12,上海世华民族艺术瑰宝回归基金会,2.0,,0.0,0.0,非公募,2009年07月02日,,未参评,0,853520,0.0,"2,263,000.70",NGF,Regional
5,12,上海世华民族艺术瑰宝回归基金会,2.0,,0.0,0.0,非公募,2009年07月02日,,未参评,0,853520,0.0,2263000.7,NGF,Regional
6,13,上海东华大学教育发展基金会,0.0,,0.0,0.0,非公募,2010年09月21日,,未参评,5417686.26,200000,0.0,28092988.98,GLF,Regional
7,14,上海东方文化艺术基金会,4.0,,0.0,0.0,非公募,2009年05月14日,,未参评,0,931200,0.0,2053081.49,GLF,Regional
8,15,上海东方爱心基金会,0.0,,0.0,0.0,非公募,2008年03月20日,,未参评,0,800000,0.0,1939345.94,NGF,Regional
9,16,上海中华职业教育温暖工程基金会,1.0,,0.0,0.0,非公募,2007年09月20日,,未参评,0,312431,0.0,3436540.72,GLF,Regional
10,17,上海中欧国际工商学院教育发展基金会,8.0,,0.0,0.0,非公募,2005年03月28日,,未参评,27064601.98,16692566.52,0.0,146687508.09,NGF,Regional
11,18,上海交响乐团文化发展基金会,2.0,,0.0,0.0,非公募,1992年06月19日,,5A,0,14990323,0.0,82160340.72,GLF,Regional
12,19,上海交通大学教育发展基金会,0.0,,0.0,0.0,非公募,2005年01月27日,,5A,226099199,180000,0.0,1135742027.88,GLF,Regional
13,20,上海仁德基金会,9.0,,0.0,0.0,公募,2011年12月07日,,未参评,4034116.74,211248.62,0.0,7519977.64,NGF,Regional
14,21,上海公安金盾基金会,0.0,,0.0,0.0,公募,2010年07月30日,,未参评,25600000,13400000,0.0,200568092.45,GLF,Regional
15,22,上海兴华教育扶贫基金会,2.0,,0.0,0.0,非公募,2006年09月05日,,未参评,0,5534806.77,0.0,77468903.58,NGF,Regional
16,23,上海兴韦信息技术职业学院教育发展基金会,6.0,,0.0,0.0,非公募,2013年01月04日,,未参评,10485600,500000,0.0,3180686.08,GLF,Regional
