,ricf_oid,ba_cn,ba_nfe,ba_gvm,ba_pgv,ba_ntr,ba_fdt,ba_bn,ba_evl,fa_dine_this,fa_dinu_this,cf_govc,fp_tt_end,Government-Link,Scope,Province
0,2288,浙江省新台州人健康救助基金会,7,0,0,非公募基金会,2011-07-04,14.0,未参评,0.00,"379,538.00",0.00,"3,218,571.02",NGF,Regional,Zhejiang
1,2256,浙江省余姚中学奖教奖学基金会,0,0,0,非公募基金会,2001-06-01,9.0,未参评,"1,273,789.30","4,745,780.90",0.00,"5,822,354.13",GLF,Regional,Zhejiang
2,1059,天津城建大学教育发展基金会,1,0,0,非公募基金会,2013-12-13,13.0,未参评,0.00,"9,200.00",0.00,"2,459,550.35",GLF,Regional,Tianjin
3,379,传媒大学教育基金会,5,0,0,非公募基金会,2007-06-21,17.0,1A,"16,793,400.00",0.00,0.00,"76,188,189.52",GLF,National,Beijing
4,972,嘉兴市温商慈善基金会,4,0,0,非公募基金会,2013-05-08,9.0,未参评,0.00,"709,826.90",0.00,"4,865,096.86",GLF,Regional,Zhejiang
5,1099,天津市自然科学团体活动基金会,0,0,0,非公募基金会,1990-01-01,6.0,未参评,0.00,0.00,"220,000.00","2,353,428.80",GLF,Regional,Tianjin
6,3001,辽宁省体育基金会,6,0,0,公募基金会,1989-10-14,5.0,4A,0.00,0.00,0.00,"27,169,056.29",GLF,Regional,Liaoning
7,2980,贵州省送温暖基金会,3,2,0,公募基金会,2004-06-28,11.0,未参评,0.00,0.00,0.00,"34,007,954.66",GLF,Regional,Guizhou
8,2127,河南省拥军优属基金会,4,0,0,公募基金会,发起人,17.0,未参评,0.00,"41,200.00",0.00,"8,065,286.21",GLF,Regional,Henan
9,129,上海淑德公益基金会,0.0,0,0.0,非公募基金会,2012年11月06日,7.0,未参评,0.0,546500.0,0.0,197272.26,NGF,Regional,Shanghai
10,250,中国煤矿尘肺病防治基金会,14,0,1,公募基金会,2003-10-31,8.0,4A,"8,755,000.00","5,829,949.44","1,200,000.00","46,538,508.00",GLF,National,Hebei
11,1147,宁夏回族自治区燕宝慈善基金会,12,0,1,非公募基金会,2010-12-22,5.0,5A,0.00,"161,624,702.00",0.00,"15,675,323.18",NGF,Regional,Ningxia
12,3260,青海省残疾人福利基金会,1,2,0,公募基金会,2006-05-12,1.0,未参评,0.00,"2,495,800.00",0.00,"6,822,795.75",GLF,Regional,Qinghai
13,3158,阿里巴巴公益基金会,6,0,0,非公募基金会,发起人,9.0,3A,0.00,"50,060,000.00",0.00,"57,677,350.37",NGF,National,Zhejiang
14,2207,浙江全山石艺术基金会,0,0,0,非公募基金会,2011-12-06,7.0,未参评,0.00,"20,000,000.00",0.00,"13,086,663.22",NGF,Regional,Zhejiang
15,59,上海市儿童健康基金会,0.0,0,0.0,公募基金会,1992年07月07日,22.0,5A,10278131.8,663092.72,0.0,25854627.97,NGF,Regional,Shanghai
16,3103,重庆邮电大学教育基金会,2,0,0,非公募基金会,2012-11-09,22.0,未参评,"3,821,936.96",0.00,0.00,"12,517,452.26",GLF,Regional,Chongqing
17,2242,浙江永强慈善基金会,0,0,0,非公募基金会,2009-07-01,8.0,未参评,0.00,"500,000.00",0.00,"428,765.07",NGF,Regional,Zhejiang
18,3012,辽宁省大连海洋大学教育发展基金会,2,0,0,非公募基金会,2010-11-15,25.0,4A,0.00,"500,000.00",0.00,"3,369,012.57",GLF,Regional,Liaoning
