,ricf_oid,ba_ntr,doi_1,ba_fdt_o,ba_fnd_r
0,2288,1,379538.0,6.0,2000000.0
1,2256,1,6019570.2,16.0,2200000.0
2,1059,1,9200.0,4.0,2000000.0
3,379,1,16793400.0,10.0,20000000.0
4,972,1,709826.9,4.0,4000000.0
5,1099,1,0.0,27.0,2000000.0
6,4496,1,2000000.0,2.0,5000000.0
7,3001,0,0.0,28.0,4000000.0
8,5741,1,65331.7,1.0,2000000.0
9,5565,1,0.0,1.0,2000000.0
10,2980,0,0.0,13.0,29700000.0
11,5009,1,36000.0,1.0,2000000.0
13,129,1,546500.0,5.0,2000000.0
14,250,0,14584949.440000001,14.0,8000000.0
15,1147,1,161624702.0,7.0,10000000.0
16,3260,0,2495800.0,11.0,4000000.0
18,4592,1,4011182.16,2.0,2000000.0
19,2207,1,20000000.0,6.0,20000000.0
20,59,0,10941224.520000001,25.0,5500000.0
21,3103,1,3821936.96,5.0,5000000.0
22,4684,1,868390.93,2.0,2000000.0
23,2242,1,500000.0,8.0,2000000.0
24,3012,1,500000.0,7.0,2000000.0
25,4707,1,78000.0,2.0,2600000.0
26,4938,1,1340000.0,1.0,2000000.0
27,3164,1,0.0,6.0,10000000.0
28,4852,1,0.0,2.0,2000000.0
29,5549,1,0.0,1.0,2000000.0
30,3680,1,400.0,3.0,5000000.0
32,5340,1,1500.0,1.0,2000000.0
34,2267,1,5471467.32,4.0,2000000.0
35,244,0,550817133.67,33.0,506210000.0
36,4793,1,2000000.0,2.0,2000000.0
37,3978,1,5631.87,3.0,2000000.0
38,2954,0,1414500.0,19.0,4000000.0
39,1060,1,6446308.68,12.0,2000000.0
40,2967,0,17000813.1,4.0,4000000.0
41,1315,1,0.0,5.0,2000000.0
42,126,1,1124000.0,9.0,19000000.0
43,2684,1,60000.0,4.0,5000000.0
44,2283,1,51584.99,5.0,2000000.0
45,2197,1,200000.0,5.0,2000000.0
46,3216,0,21052275.47,6.0,5000000.0
47,3309,1,0.0,6.0,2000000.0
48,2249,1,3650940.64,5.0,5000000.0
49,4136,1,1150300.0,3.0,2000000.0
50,5967,0,0.0,6.0,4000000.0
51,4179,0,0.0,3.0,4000000.0
52,2219,1,1842932.35,6.0,5000000.0
53,1774,0,100000.0,14.0,4000000.0
54,2234,1,221150000.0,5.0,20000000.0
55,5201,1,2000000.0,1.0,2000000.0
56,5242,1,20000000.0,1.0,20000000.0
57,1818,0,0.0,25.0,4000000.0
58,2490,1,0.0,5.0,2000000.0
59,1363,1,0.0,4.0,2000000.0
60,2057,1,868983.5,21.0,2000000.0
61,2262,1,0.0,12.0,2000000.0
62,133,1,1058589.4,7.0,2000000.0
63,1255,0,5914845.32,7.0,4301200.0
64,252,0,3024595.36,23.0,8000000.0
65,179,0,69419626.58,23.0,8000000.0
66,1324,1,200000.0,10.0,2000000.0
67,19,1,275234564.76,12.0,10000000.0
68,1175,0,2000000.0,12.0,4000000.0
69,2145,1,7946828.4,9.0,2000000.0
70,2762,1,5950000.0,9.0,2000000.0
71,4994,1,484872.0,1.0,2000000.0
72,2224,1,0.0,10.0,2000000.0
73,3747,1,0.0,3.0,2000000.0
74,3092,0,6512000.0,5.0,4000000.0
75,4099,1,0.0,3.0,3000000.0
76,33,1,300000.0,14.0,3000000.0
77,380,0,2927500.0,12.0,4000000.0
78,4075,1,2670000.0,3.0,2000000.0
79,2110,1,2172500.0,4.0,2000000.0
80,55,0,400000.0,12.0,4500000.0
81,4339,1,12894785.56,2.0,3000000.0
82,1835,0,7721850.0,7.0,5000000.0
83,2482,0,0.0,9.0,4000000.0
84,3129,1,4474844.1899999995,7.0,2000000.0
85,1183,1,8446749.46,5.0,2000000.0
86,1160,1,3777332.92,8.0,3000000.0
87,3022,0,8099188.4,4.0,4000000.0
88,2071,0,51271.0,23.0,4000000.0
89,137,0,300000.0,25.0,15000000.0
90,4486,1,1397093.57,7.0,2000000.0
91,5205,1,2000000.0,1.0,2000000.0
92,257,0,0.0,24.0,8000000.0
93,107,0,600000.0,26.0,4000000.0
94,4475,0,358844601.33,2.0,190000000.0
95,3820,1,1000000.0,3.0,20000000.0
96,82,0,0.0,25.0,6800000.0
97,2979,0,79500.0,5.0,4810000.0
98,2108,1,0.0,5.0,2000000.0
99,5110,0,28067908.0,1.0,5000000.0
100,889,0,379052.7,13.0,4000000.0
101,81,0,60973926.4,14.0,30000000.0
102,61,0,11002300.0,5.0,4000000.0
103,947,0,234000.0,6.0,4000000.0
104,3408,1,0.0,11.0,2000000.0
105,4188,1,400000.0,3.0,5000000.0
106,2075,0,18106095.83,24.0,5000000.0
107,1173,0,0.0,32.0,5000000.0
108,3496,1,259100.0,3.0,2000000.0
109,3617,1,1500000.0,4.0,2000000.0
110,2497,0,124000.0,9.0,4000000.0
111,4200,1,2604999.16,3.0,2000000.0
112,1102,1,133000.0,23.0,2000000.0
115,2939,1,32347169.85,7.0,2000000.0
116,5560,1,200000.0,1.0,2000000.0
117,4403,1,50.0,2.0,2000000.0
118,974,0,0.0,7.0,4000000.0
119,1065,0,1092601.0,12.0,4000000.0
120,2202,1,14152900.0,4.0,2000000.0
121,3192,1,0.0,7.0,160000000.0
122,4290,1,32834713.7,2.0,50000000.0
123,218,0,13748000.0,10.0,8000000.0
124,5043,1,2012366.18,1.0,2000000.0
125,888,0,0.0,6.0,4000000.0
126,4627,1,5989480.9,2.0,2000000.0
127,1867,1,1500000.0,5.0,20000000.0
128,5508,1,0.0,1.0,2000000.0
129,3250,1,0.0,8.0,2000000.0
130,3005,0,1421274.06,11.0,4000000.0
131,18,1,20590000.0,25.0,4000000.0
132,4361,1,21400000.0,2.0,50000000.0
133,2047,1,7854411.62,5.0,2000000.0
134,2089,1,662148.87,4.0,2000000.0
135,64,0,0.0,25.0,5000000.0
136,2322,1,8445189.86,4.0,3000000.0
137,1116,0,320000.0,10.0,4020000.0
138,2149,0,200000.0,5.0,4000000.0
139,4368,1,4985691.800000001,2.0,2000000.0
140,146,1,31074542.38,9.0,5000000.0
141,3538,1,3820120.0,4.0,36000000.0
142,4448,1,609988.3,2.0,2000000.0
143,345,0,0.0,12.0,4000000.0
144,3307,1,0.0,8.0,5300000.0
145,350,1,500000.0,7.0,2000000.0
146,62,1,44868139.84,10.0,5000000.0
147,1066,1,170000.0,10.0,2000000.0
148,3751,1,1540190.8,3.0,2000000.0
149,5627,1,2000000.0,1.0,2000000.0
150,4711,1,819471.7000000001,2.0,2000000.0
151,2208,1,16349346.47,7.0,3000000.0
152,3188,1,0.0,7.0,20000000.0
153,2506,1,347470.71,7.0,2000000.0
154,2251,0,0.0,13.0,4000000.0
155,3589,0,2000000.0,4.0,8000000.0
156,4672,1,160000.0,2.0,2000000.0
157,3160,1,3000000.0,14.0,40000000.0
158,332,0,6536019.1,12.0,4000000.0
159,53,1,366905.81,10.0,2000000.0
160,2869,1,580525859.87,10.0,20000000.0
161,2934,0,0.0,11.0,5230000.0
162,1834,1,0.0,9.0,100000000.0
163,2363,0,0.0,4.0,4000000.0
164,472,1,5501085.53,5.0,50000000.0
165,2772,1,492146.0,10.0,2000000.0
166,1643,0,305000.0,5.0,4000000.0
167,3089,1,2000000.0,7.0,4000000.0
168,2264,0,0.0,6.0,4000000.0
169,2998,1,3429937.4,11.0,2000000.0
170,3028,1,191567.1,8.0,2000000.0
171,3802,1,200000.0,3.0,2000000.0
172,315,1,0.0,6.0,2000000.0
173,116,1,2382196.8,7.0,3000000.0
174,1088,0,2284371.75,8.0,4000000.0
175,2925,0,200000.0,5.0,5920000.0
176,2218,1,5020925.04,8.0,2000000.0
177,2977,0,450200.0,9.0,6300000.0
178,1054,0,26034672.18,11.0,16000000.0
