,ricf_oid,ba_ntr,ba_fdt,ba_fnd,ba_evl,ao_ad,ao_adn,fa_dine_this,fa_dinu_this,fp_ntt_end,fp_tt_end,doi_1,doi_2,ba_fnd_r,ba_fdt_r,ba_fdt_y,ba_fdt_o
0,2288,1,2011-07-04,200.0,未参评,379538.0,0.0,0.0,379538.0,2877634.44,3218571.02,379538.0,379538.0,2000000.0,2011,2011.0,6.0
1,2256,1,2001-06-01,220.0,未参评,6019570.2,0.0,1273789.3,4745780.9,4351660.63,5822354.13,6019570.2,6019570.2,2200000.0,2001,2001.0,16.0
2,1059,1,2013-12-13,200.0,未参评,9200.0,0.0,0.0,9200.0,2459550.35,2459550.35,9200.0,9200.0,2000000.0,2013,2013.0,4.0
3,379,1,2007-06-21,2000.0,1A,16793400.0,0.0,16793400.0,0.0,75637538.48,76188189.52,16793400.0,16793400.0,20000000.0,2007,2007.0,10.0
4,972,1,2013-05-08,400.0,未参评,709826.9,0.0,0.0,709826.9,4865096.85,4865096.86,709826.9,709826.9,4000000.0,2013,2013.0,4.0
5,1099,1,1990-01-01,200.0,未参评,0.0,0.0,0.0,0.0,2353428.8,2353428.8,0.0,0.0,2000000.0,1990,1990.0,27.0
6,4496,1,2015年06月04日,500.0,未参评,2000000.0,0.0,0.0,2000000.0,4318949.14,4318949.14,2000000.0,2000000.0,5000000.0,2015,2015.0,2.0
7,3001,0,1989-10-14,400.0,4A,0.0,0.0,0.0,0.0,25343227.0,27169056.29,0.0,0.0,4000000.0,1989,1989.0,28.0
8,5741,1,2016-03-03,200.0,--,65331.7,0.0,0.0,65331.7,2001691.61,2001691.61,65331.7,65331.7,2000000.0,2016,2016.0,1.0
9,5565,1,2016-11-17,200.0,--,0.0,0.0,0.0,0.0,2000341.67,2000341.67,0.0,0.0,2000000.0,2016,2016.0,1.0
10,2980,0,2004-06-28,2970.0,未参评,0.0,0.0,0.0,0.0,34007954.66,34007954.66,0.0,0.0,29700000.0,2004,2004.0,13.0
11,5009,1,2016-02-23,200.0,--,10000.0,26000.0,0.0,36000.0,2000015.54,2010015.54,36000.0,36000.0,2000000.0,2016,2016.0,1.0
13,129,1,2012年11月06日,200.0,未参评,546500.0,0.0,0.0,546500.0,120724.26,197272.26,546500.0,546500.0,2000000.0,2012,2012.0,5.0
