,ricf_oid,ba_ntr,ba_fdt,ba_fnd,ba_evl,ao_ad,ao_adn,fa_dine_this,fa_dinu_this,fp_ntt_end,fp_tt_end
0,2288,非公募基金会,2011-07-04,200.00,未参评,"379,538.00",0.00,0.00,"379,538.00","2,877,634.44","3,218,571.02"
1,2256,非公募基金会,2001-06-01,220.00,未参评,"6,019,570.20",0.00,"1,273,789.30","4,745,780.90","4,351,660.63","5,822,354.13"
2,1059,非公募基金会,2013-12-13,200.00,未参评,"9,200.00",0.00,0.00,"9,200.00","2,459,550.35","2,459,550.35"
3,379,非公募基金会,2007-06-21,"2,000.00",1A,"16,793,400.00",0.00,"16,793,400.00",0.00,"75,637,538.48","76,188,189.52"
4,972,非公募基金会,2013-05-08,400.00,未参评,"709,826.90",0.00,0.00,"709,826.90","4,865,096.85","4,865,096.86"
5,1099,非公募基金会,1990-01-01,200.00,未参评,0.00,0.00,0.00,0.00,"2,353,428.80","2,353,428.80"
6,4496,非公募基金会,2015年06月04日,500.0,未参评,2000000.0,0.0,0.0,2000000.0,4318949.14,4318949.14
7,3001,公募基金会,1989-10-14,400.00,4A,0.00,0.00,0.00,0.00,"25,343,227.00","27,169,056.29"
8,5741,非公募基金会,2016-03-03,200.00,--,"65,331.70",0.00,0.00,"65,331.70","2,001,691.61","2,001,691.61"
9,5565,非公募基金会,2016-11-17,200.00,--,0.00,0.00,0.00,0.00,"2,000,341.67","2,000,341.67"
10,2980,公募基金会,2004-06-28,"2,970.00",未参评,0.00,0.00,0.00,0.00,"34,007,954.66","34,007,954.66"
11,5009,非公募基金会,2016-02-23,200.00,--,"10,000.00","26,000.00",0.00,"36,000.00","2,000,015.54","2,010,015.54"
12,2127,公募基金会,发起人,403.00,未参评,0.00,"41,200.00",0.00,"41,200.00","8,065,286.21","8,065,286.21"
13,129,非公募基金会,2012年11月06日,200.0,未参评,546500.0,0.0,0.0,546500.0,120724.26,197272.26
14,250,公募基金会,2003-10-31,800.00,4A,"10,034,949.44","4,550,000.00","8,755,000.00","5,829,949.44","45,369,468.68","46,538,508.00"
15,1147,非公募基金会,2010-12-22,"1,000.00",5A,"161,624,702.00",0.00,0.00,"161,624,702.00","12,550,719.60","15,675,323.18"
16,3260,公募基金会,2006-05-12,400.00,未参评,"2,495,800.00",0.00,0.00,"2,495,800.00","6,822,795.75","6,822,795.75"
17,3158,非公募基金会,发起人,"5,000.00",3A,"50,060,000.00",0.00,0.00,"50,060,000.00","57,631,229.90","57,677,350.37"
18,4592,非公募基金会,2015年07月24日,200.0,未参评,4011182.16,0.0,3916182.16,95000.0,3909015.9,3909947.6
19,2207,非公募基金会,2011-12-06,"2,000.00",未参评,"20,000,000.00",0.00,0.00,"20,000,000.00","13,086,663.22","13,086,663.22"
20,59,公募基金会,1992年07月07日,550.0,5A,8897162.52,2044062.0,10278131.8,663092.72,25854627.97,25854627.97
21,3103,非公募基金会,2012-11-09,500.00,未参评,"3,664,200.00","157,736.96","3,821,936.96",0.00,"11,717,452.26","12,517,452.26"
